สวนสัตว์เปิดเขาเขียว	NN	B_NAME	B_CLS
ได้	AX	O	I_CLS
สมาชิก	NN	O	I_CLS
ใหม่	VV	O	I_CLS
ลูก	NN	O	I_CLS
แกะบาร์บารี	NN	O	I_CLS
_	PU	O	I_CLS
2	NU	B_NUM	I_CLS
_	PU	O	I_CLS
ตัว	CL	O	E_CLS

สวนสัตว์	NN	B_ORG	B_CLS
เปิด	VV	I_ORG	I_CLS
เขาเขียว	NN	E_ORG	I_CLS
ได้	AX	O	I_CLS
สมาชิก	NN	O	I_CLS
ใหม่	VV	O	I_CLS
เพิ่ม	VV	O	I_CLS
ขึ้น	AV	O	I_CLS
อีก	AV	O	I_CLS
เป็น	VV	O	I_CLS
ลูก	NN	O	I_CLS
แกะ	NN	O	I_CLS
บาร์บารี	NN	B_TRM	I_CLS
_	PU	O	I_CLS
2	NU	B_NUM	I_CLS
_	PU	O	I_CLS
ตัว	CL	O	I_CLS
นับ	VV	O	I_CLS
เป็น	VV	O	I_CLS
การ	FX	O	I_CLS
เพาะ	VV	O	I_CLS
ขยาย	VV	O	I_CLS
พันธุ์	NN	O	I_CLS
สัตว์	NN	O	I_CLS
ป่า	NN	O	I_CLS
หา	VV	O	I_CLS
ยาก	VV	O	E_CLS
ที่	CC	O	B_CLS
ใกล้	VV	O	I_CLS
สูญ	VV	O	I_CLS
พันธุ์	NN	O	I_CLS
ได้	AX	O	I_CLS
สำเร็จ	VV	O	E_CLS
และ	CC	O	B_CLS
เป็น	VV	O	I_CLS
ปี	NN	O	I_CLS
ทอง	NN	O	I_CLS
ของ	PS	O	I_CLS
เขาเขียว	NN	B_ORG	I_CLS
จริง	VV	O	I_CLS
ๆ	PU	O	E_CLS

เมื่อ	PS	O	B_CLS
เวลา	NN	B_DTM	I_CLS
_	PU	I_DTM	I_CLS
12.00	NU	I_DTM	I_CLS
_	PU	I_DTM	I_CLS
น.	CL	E_DTM	I_CLS
_	PU	O	I_CLS
16	NU	B_DTM	I_CLS
_	PU	I_DTM	I_CLS
ส.ค.	NN	E_DTM	I_CLS
_	PU	O	I_CLS
นาย	NN	B_TTL	I_CLS
สุริยา	NN	B_PER	I_CLS
_	PU	I_PER	I_CLS
แสงพงค์	NN	E_PER	I_CLS
_	PU	O	I_CLS
ผู้	FX	B_DES	I_CLS
อำนวยการ	VV	I_DES	I_CLS
สวนสัตว์	NN	B_ORG	I_CLS
เปิด	VV	I_ORG	I_CLS
เขาเขียว	NN	E_ORG	I_CLS
_	PU	O	I_CLS
ต.	NN	B_LOC	I_CLS
บางพระ	NN	E_LOC	I_CLS
_	PU	O	I_CLS
อ.	NN	B_LOC	I_CLS
ศรีราชา	NN	E_LOC	I_CLS
_	PU	O	I_CLS
จ.	NN	B_LOC	I_CLS
ชลบุรี	NN	E_LOC	I_CLS
_	PU	O	I_CLS
ได้	AX	O	I_CLS
เปิดเผย	VV	O	I_CLS
ว่า	CC	O	E_CLS
_	PU	O	O
ช่วง	NN	O	B_CLS
เย็น	NN	O	I_CLS
วันที่	NN	B_DTM	I_CLS
_	PU	I_DTM	I_CLS
15	NU	I_DTM	I_CLS
_	PU	I_DTM	I_CLS
ส.ค.	NN	E_DTM	I_CLS
_	PU	O	I_CLS
ทาง	NN	O	I_CLS
สวนสัตว์	NN	B_ORG	I_CLS
เปิด	VV	I_ORG	I_CLS
เขาเขียว	NN	E_ORG	I_CLS
ได้	AX	O	I_CLS
ต้อนรับ	VV	O	I_CLS
สมาชิก	NN	O	I_CLS
ใหม่	VV	O	I_CLS
อีก	AJ	O	I_CLS
ครั้ง	CL	O	I_CLS
หนึ่ง	NU	O	I_CLS
เป็น	VV	O	I_CLS
ลูก	NN	O	I_CLS
แกะ	NN	O	I_CLS
บาร์บารี	NN	O	I_CLS
_	PU	O	I_CLS
2	NU	B_NUM	I_CLS
_	PU	O	I_CLS
ตัว	CL	O	I_CLS
_	PU	O	I_CLS
เป็น	VV	O	I_CLS
เพศ	NN	O	I_CLS
ผู้	FX	O	I_CLS
_	PU	O	I_CLS
1	NU	B_NUM	I_CLS
_	PU	O	I_CLS
ตัว	CL	O	I_CLS
และ	CC	O	E_CLS
_	PU	O	O
เพศ	NN	O	B_CLS
เมีย	NN	O	I_CLS
_	PU	O	I_CLS
1	NU	B_NUM	I_CLS
_	PU	O	I_CLS
ตัว	CL	O	I_CLS
_	PU	O	I_CLS
เป็น	VV	O	I_CLS
การ	FX	O	I_CLS
ตกลูก	VV	O	I_CLS
เป็น	VV	O	I_CLS
ครอก	NN	O	I_CLS
ที่	PS	O	I_CLS
_	PU	O	I_CLS
2	NU	O	I_CLS
_	PU	O	I_CLS
ของ	PS	O	I_CLS
พ่อแม่	NN	O	I_CLS
แกะ	NN	O	I_CLS
บาร์บารี	NN	O	E_CLS
ที่	CC	O	B_CLS
เลี้ยง	VV	O	I_CLS
อยู่	VV	O	I_CLS
ใน	PS	O	I_CLS
คอก	NN	O	I_CLS
ใน	PS	O	I_CLS
สวนสัตว์	NN	B_LOC	I_CLS
เปิด	VV	I_LOC	I_CLS
เขาเขียว	NN	E_LOC	I_CLS
_	PU	O	I_CLS
ลูก	NN	O	I_CLS
แกะ	NN	O	E_CLS
ที่	CC	O	B_CLS
ออก	AV	O	I_CLS
มา	VV	O	I_CLS
ทั้ง	AJ	O	I_CLS
_	PU	O	I_CLS
2	NU	B_NUM	I_CLS
_	PU	O	I_CLS
ตัว	CL	O	I_CLS
นี้	AJ	O	I_CLS
สุขภาพ	NN	O	I_CLS
แข็งแรง	VV	O	I_CLS
สามารถ	AX	O	I_CLS
เดิน	VV	O	I_CLS
ไป	AV	O	I_CLS
มา	VV	O	I_CLS
ภายใน	PS	O	I_CLS
คอก	NN	O	I_CLS
ได้	AX	O	I_CLS
เป็น	VV	O	I_CLS
อย่าง	FX	O	I_CLS
ดี	VV	O	I_CLS
_	PU	O	I_CLS
รวม	VV	O	E_CLS
ทั้ง	CC	O	B_CLS
เริ่ม	VV	O	I_CLS
กิน	VV	O	I_CLS
อาหาร	NN	O	I_CLS
ได้	AX	O	E_CLS

การ	FX	O	B_CLS
ได้	VV	O	I_CLS
ลูก	NN	O	I_CLS
แกะ	NN	O	I_CLS
บาร์บารี	NN	O	I_CLS
คู่	CL	O	I_CLS
นี้	AJ	O	I_CLS
นั้น	AJ	O	I_CLS
ได้	AX	O	I_CLS
สร้าง	VV	O	I_CLS
ความ	FX	O	I_CLS
ยินดี	VV	O	I_CLS
ให้	CC	O	I_CLS
กับ	PS	O	I_CLS
พนักงาน	NN	O	I_CLS
สวนสัตว์	NN	O	I_CLS
และ	CC	O	I_CLS
ทีม	NN	O	I_CLS
สัตว์แพทย์	NN	O	I_CLS
ของ	PS	O	I_CLS
สวนสัตว์	NN	B_ORG	I_CLS
เปิด	VV	I_ORG	I_CLS
เขาเขียว	NN	E_ORG	I_CLS
เป็น	VV	O	I_CLS
อย่าง	FX	O	I_CLS
มาก	VV	O	E_CLS
_	PU	O	O
ที่	CC	O	B_CLS
สามารถ	AX	O	I_CLS
เพาะ	VV	O	E_CLS
และ	CC	O	B_CLS
ขยาย	VV	O	I_CLS
พันธุ์	NN	O	I_CLS
สัตว์	NN	O	I_CLS
ป่า	NN	O	E_CLS
ที่	CC	O	B_CLS
หา	VV	O	I_CLS
ยาก	VV	O	E_CLS
ที่	CC	O	B_CLS
ใกล้	VV	O	I_CLS
จะ	AX	O	I_CLS
สูญ	VV	O	I_CLS
พันธุ์	NN	O	E_CLS
_	PU	O	O
จน	CC	O	B_CLS
สำเร็จ	VV	O	I_CLS
ได้	AX	O	E_CLS
ตามที่	CC	O	B_CLS
มุ่งหวัง	VV	O	I_CLS
ไว้	AX	O	E_CLS
_	PU	O	O
ซึ่ง	CC	O	B_CLS
นับ	VV	O	I_CLS
ได้	AX	O	E_CLS
ว่า	CC	O	B_CLS
ใน	PS	O	I_CLS
ปี	NN	O	I_CLS
