สอง	NU	B_MEA	B_CLS
คน	CL	E_MEA	I_CLS
แฮปปี้	VV	O	I_CLS
กว่า	AV	O	I_CLS
_	PU	O	I_CLS
"	PU	O	I_CLS
สา	NN	B_PER	I_CLS
"	PU	O	I_CLS
ยอม	VV	O	I_CLS
ง้อ	VV	O	I_CLS
"	PU	O	I_CLS
ต้าร์	NN	B_PER	I_CLS
"	PU	O	E_CLS

ประกาศ	VV	O	B_CLS
แยก	VV	O	I_CLS
ทาง	NN	O	I_CLS
กัน	PR	O	I_CLS
ได้	AX	O	I_CLS
ไม่	NG	O	I_CLS
เท่า	AV	O	I_CLS
ไหร่	PR	O	I_CLS
มาริสา	NN	B_PER	I_CLS
_	PU	I_PER	I_CLS
แอนนิต้า	NN	E_PER	E_CLS
_	PU	O	O
ก็	CC	O	B_CLS
ทน	VV	O	I_CLS
เหงา	VV	O	I_CLS
ไม่	NG	O	I_CLS
ไหว	VV	O	I_CLS
_	PU	O	I_CLS
ยอม	VV	O	I_CLS
ลด	VV	O	I_CLS
ทิฐิ	NN	O	I_CLS
ยก	VV	O	I_CLS
หู	NN	O	I_CLS
โทรศัพท์	NN	O	I_CLS
ไป	AV	O	I_CLS
ง้อ	VV	O	I_CLS
ตาร์	NN	B_PER	I_CLS
-	PU	O	I_CLS
เผ่าพล	NN	B_PER	I_CLS
_	PU	I_PER	I_CLS
เทพหัสดิน	NN	I_PER	I_CLS
_	PU	I_PER	I_CLS
ณ	PS	I_PER	I_CLS
_	PU	I_PER	I_CLS
อยุธยา	NN	E_PER	I_CLS
_	PU	O	I_CLS
กลับ	VV	O	I_CLS
มา	AV	O	I_CLS
คืนดี	VV	O	I_CLS
กัน	PR	O	I_CLS
แล้ว	AX	O	E_CLS

