รมว.	NN	B_DES	B_CLS
เกษตรฯ	NN	B_ORG	I_CLS
_	PU	O	I_CLS
ชี้แจง	VV	O	I_CLS
ความ	FX	O	I_CLS
คืบหน้า	VV	O	I_CLS
โครงการ	NN	O	I_CLS
ยุทธศาสตร์	NN	O	I_CLS
ทาง	NN	O	I_CLS
การ	FX	O	I_CLS
ค้า	VV	O	I_CLS
สินค้า	NN	O	I_CLS
เกษตร	NN	O	E_CLS

รัฐมนตรี	NN	O	B_CLS
ว่าการ	VV	O	I_CLS
กระทรวง	NN	B_ORG	I_CLS
เกษตร	NN	I_ORG	E_CLS
และ	CC	I_ORG	B_CLS
สหกรณ์	NN	E_ORG	I_CLS
_	PU	O	I_CLS
ชี้แจง	VV	O	I_CLS
ความ	FX	O	I_CLS
คืบหน้า	VV	O	I_CLS
โครงการ	NN	O	I_CLS
ยุทธศาสตร์	NN	O	I_CLS
ทาง	NN	O	I_CLS
การ	FX	O	I_CLS
ค้า	VV	O	I_CLS
สินค้า	NN	O	I_CLS
เกษตร	NN	O	I_CLS
_	PU	O	I_CLS
ระบุ	VV	O	I_CLS
_	PU	O	I_CLS
สินค้า	NN	O	I_CLS
_	PU	O	I_CLS
6	NU	B_MEA	I_CLS
_	PU	O	I_CLS
ชนิด	CL	B_MEA	I_CLS
ดำเนินการ	VV	O	I_CLS
ตาม	PS	O	I_CLS
ยุทธศาสตร์	NN	O	I_CLS
ได้	AX	O	I_CLS
ทันที	AV	O	E_CLS
หลัง	CC	O	B_CLS
คณะ	NN	B_ORG	I_CLS
รัฐมนตรี	NN	E_ORG	I_CLS
อนุมัติ	VV	O	I_CLS
แล้ว	AX	O	E_CLS

นาย	NN	B_TTL	B_CLS
ธีระ	NN	B_PER	I_CLS
_	PU	I_PER	I_CLS
วงศ์สมุทร	NN	E_PER	I_CLS
_	PU	O	I_CLS
รัฐมนตรี	NN	O	I_CLS
ว่าการ	VV	O	I_CLS
กระทรวง	NN	B_ORG	I_CLS
เกษตร	NN	I_ORG	E_CLS
และ	CC	I_ORG	B_CLS
สหกรณ์	NN	E_ORG	I_CLS
_	PU	O	I_CLS
กล่าว	VV	O	I_CLS
ถึง	PS	O	I_CLS
ความ	FX	O	I_CLS
คืบหน้า	VV	O	I_CLS
ของ	PS	O	I_CLS
โครงการ	NN	O	I_CLS
ยุทธศาสตร์	NN	O	I_CLS
ทาง	NN	O	I_CLS
การ	FX	O	I_CLS
ค้า	VV	O	I_CLS
สินค้า	NN	O	I_CLS
เกษตร	NN	O	E_CLS
_	PU	O	O
ว่า	CC	O	B_CLS
_	PU	O	O
มี	VV	O	B_CLS
สินค้า	NN	O	I_CLS
เกษตร	NN	O	I_CLS
เข้า	AV	O	I_CLS
ร่วม	VV	O	I_CLS
โครงการ	NN	O	I_CLS
แล้ว	AX	O	I_CLS
_	PU	O	I_CLS
22	NU	B_MEA	I_CLS
_	PU	O	I_CLS
ชนิด	CL	B_MEA	E_CLS
_	PU	O	O
โดย	CC	O	B_CLS
มี	VV	O	I_CLS
สินค้า	NN	O	I_CLS
_	PU	O	I_CLS
7	NU	B_MEA	I_CLS
_	PU	O	I_CLS
ชนิด	CL	B_MEA	I_CLS
_	PU	O	I_CLS
ได้แก่	CC	O	I_CLS
_	PU	O	I_CLS
ข้าวโพด	NN	O	I_CLS
_	PU	O	I_CLS
ถั่วเหลือง	NN	O	I_CLS
_	PU	O	I_CLS
มันสำปะหลัง	NN	O	I_CLS
_	PU	O	I_CLS
โค	NN	O	I_CLS
กระบือ	NN	O	I_CLS
_	PU	O	I_CLS
ไก่เนื้อ	NN	O	I_CLS
_	PU	O	I_CLS
แพะ	NN	O	I_CLS
_	PU	O	I_CLS
และ	CC	O	I_CLS
ปลานิล	NN	O	I_CLS
_	PU	O	I_CLS
อยู่	VV	O	E_CLS
ระหว่าง	CC	O	B_CLS
เร่งรัด	VV	O	I_CLS
ดำเนินการ	VV	O	E_CLS

ส่วน	CC	O	B_CLS
สินค้า	NN	O	I_CLS
อีก	AJ	O	I_CLS
_	PU	O	I_CLS
6	NU	B_MEA	I_CLS
_	PU	O	I_CLS
ชนิด	CL	B_MEA	I_CLS
_	PU	O	I_CLS
ได้แก่	CC	O	I_CLS
_	PU	O	I_CLS
กาแฟ	NN	O	I_CLS
_	PU	O	I_CLS
ผลไม้	NN	O	I_CLS
_	PU	O	I_CLS
ข้าว	NN	O	I_CLS
_	PU	O	I_CLS
ปาล์มน้ำมัน	NN	O	I_CLS
_	PU	O	I_CLS
ไก่ไข่	NN	O	I_CLS
_	PU	O	I_CLS
และ	CC	O	I_CLS
กล้วยไม้	NN	O	I_CLS
_	PU	O	I_CLS
คณะ	NN	B_ORG	I_CLS
รัฐมนตรี	NN	E_ORG	I_CLS
ได้	AX	O	I_CLS
อนุมัติ	VV	O	I_CLS
ให้	CC	O	I_CLS
หน่วยงาน	NN	O	I_CLS
ที่	CC	O	I_CLS
เกี่ยวข้อง	VV	O	I_CLS
ดำเนินการ	VV	O	I_CLS
ตาม	PS	O	I_CLS
แผน	NN	O	I_CLS
ยุทธศาสตร์	NN	O	I_CLS
ดังกล่าว	AJ	O	I_CLS
ได้	AX	O	I_CLS
ทันที	AV	O	E_CLS

อย่างไรก็ตาม	CC	O	B_CLS
จาก	PS	O	I_CLS
การ	FX	O	I_CLS
ดำเนิน	VV	O	I_CLS
งาน	NN	O	E_CLS
ที่	CC	O	B_CLS
ผ่าน	VV	O	I_CLS
มา	AV	O	I_CLS
กระทรวง	NN	B_ORG	I_CLS
เกษตร	NN	I_ORG	I_CLS
ฯ	PU	E_ORG	I_CLS
_	PU	O	I_CLS
เคย	AX	O	I_CLS
จัดทำ	VV	O	I_CLS
แผน	NN	O	I_CLS
ยุทธศาสตร์	NN	O	I_CLS
ทาง	NN	O	I_CLS
การ	FX	O	I_CLS
ค้า	VV	O	I_CLS
สินค้า	NN	O	I_CLS
เกษตร	NN	O	I_CLS
ขึ้น	VV	O	I_CLS
แล้ว	AX	O	E_CLS

ขณะ	CC	O	B_CLS
ที่	CC	O	I_CLS
การ	FX	O	I_CLS
ดำเนิน	VV	O	I_CLS
งาน	NN	O	I_CLS
ไม่	NG	O	I_CLS
ประสบ	VV	O	I_CLS
ผล	NN	O	I_CLS
สำเร็จ	VV	O	I_CLS
_	PU	O	I_CLS
เนื่องจาก	CC	O	I_CLS
อุปสรรค	NN	O	I_CLS
ทาง	PS	O	I_CLS
ด้าน	NN	O	I_CLS
งบประมาณ	NN	O	E_CLS

ดังนั้น	CC	O	B_CLS
ใน	PS	O	I_CLS
การ	FX	O	I_CLS
จัดตั้ง	VV	O	I_CLS
งบประมาณ	NN	O	I_CLS
ปี	NN	B_DTM	I_CLS
_	PU	I_DTM	I_CLS
2554	NU	E_DTM	I_CLS
_	PU	O	I_CLS
จะ	AX	O	I_CLS
ต้อง	AX	O	I_CLS
คำนึง	VV	O	I_CLS
ถึง	PS	O	I_CLS
งบประมาณ	NN	O	E_CLS
ที่	CC	O	B_CLS
สอด	VV	O	I_CLS
รับ	VV	O	I_CLS
กับ	PS	O	I_CLS
ยุทธศาสตร์	NN	O	I_CLS
ทาง	NN	O	I_CLS
การ	FX	O	I_CLS
ค้า	VV	O	I_CLS
มาก	VV	O	I_CLS
ที่สุด	AV	O	E_CLS
_	PU	O	O
เพื่อ	CC	O	B_CLS
ช่วย	VV	O	I_CLS
ผลักดัน	VV	O	I_CLS
สินค้า	NN	O	I_CLS
เกษตร	NN	O	E_CLS
ให้	CC	O	B_CLS
เป็น	VV	O	I_CLS
ไป	AV	O	I_CLS
ตาม	PS	O	I_CLS
แนวทาง	NN	O	E_CLS
ที่	CC	O	B_CLS
วาง	VV	O	I_CLS
ไว้	AV	O	E_CLS

สำหรับ	PS	O	B_CLS
มาตรการ	NN	O	I_CLS
รองรับ	VV	O	I_CLS
สินค้า	NN	O	E_CLS
ที่	CC	O	B_CLS
ได้รับ	VV	O	I_CLS
ผล	NN	O	I_CLS
กระทบ	VV	O	I_CLS
จาก	PS	O	I_CLS
การ	FX	O	I_CLS
จัดตั้ง	VV	O	I_CLS
เขต	NN	O	I_CLS
การ	FX	O	I_CLS
ค้า	VV	O	I_CLS
เสรี	AV	O	I_CLS
_	PU	O	I_CLS
กระทรวง	NN	B_ORG	I_CLS
เกษตร	NN	I_ORG	I_CLS
ฯ	PU	E_ORG	I_CLS
_	PU	O	I_CLS
ได้	AX	O	I_CLS
เร่งรัด	VV	O	I_CLS
ให้	CC	O	I_CLS
หน่วยงาน	NN	O	I_CLS
ที่	CC	O	I_CLS
เกี่ยวข้อง	VV	O	I_CLS
ศึกษา	VV	O	I_CLS
กฎหมาย	NN	O	I_CLS
ของ	PS	O	I_CLS
หน่วยงาน	NN	O	I_CLS
ตนเอง	PR	O	E_CLS

เพื่อ	CC	O	B_CLS
นำ	VV	O	I_CLS
ข้อ	NN	O	I_CLS
กฎหมาย	NN	O	E_CLS
ที่	CC	O	B_CLS
เอื้อ	VV	O	I_CLS
ประโยชน์	NN	O	I_CLS
ใน	PS	O	I_CLS
ด้าน	NN	O	I_CLS
มาตรฐาน	NN	O	I_CLS
สินค้า	NN	O	I_CLS
_	PU	O	I_CLS
สุขอนามัย	NN	O	I_CLS
_	PU	O	I_CLS
กฎระเบียบ	NN	O	E_CLS
และ	CC	O	B_CLS
วิธี	NN	O	I_CLS
