มท.1	NN	B	B_CLS
_	PU	O	I_CLS
พร้อม	VV	O	I_CLS
ด้วย	PS	O	I_CLS
_	PU	O	I_CLS
อธิบดี	NN	O	I_CLS
กรม	NN	O	I_CLS
ต่าง	AJ	O	I_CLS
ๆ	PU	O	I_CLS
_	PU	O	I_CLS
ใน	PS	O	I_CLS
สังกัด	NN	O	E_CLS
_	PU	O	O
และ	CC	O	B_CLS
ข้าราชการ	NN	O	I_CLS
ระดับ	NN	O	I_CLS
สูง	VV	O	I_CLS
_	PU	O	I_CLS
ลง	VV	O	I_CLS
พื้นที่	NN	O	I_CLS
_	PU	O	I_CLS
จ.	NN	B_LOC	I_CLS
สุพรรณบุรี	NN	E_LOC	I_CLS
_	PU	O	I_CLS
ตาม	PS	O	I_CLS
คำ	NN	O	I_CLS
เชิญ	VV	O	I_CLS
ของ	PS	O	I_CLS
_	PU	O	I_CLS
"	PU	O	I_CLS
บรรหาร	NN	B_PER	I_CLS
"	PU	O	E_CLS

รัฐมนตรี	NN	O	B_CLS
ว่าการ	VV	O	I_CLS
กระทรวง	NN	B_ORG	I_CLS
มหาดไทย	NN	E_ORG	I_CLS
_	PU	O	I_CLS
พร้อม	VV	O	I_CLS
ด้วย	PS	O	I_CLS
_	PU	O	I_CLS
อธิบดี	NN	O	I_CLS
กรม	NN	O	I_CLS
ต่าง	AJ	O	I_CLS
ๆ	PU	O	I_CLS
_	PU	O	I_CLS
ใน	PS	O	I_CLS
สังกัด	NN	O	E_CLS
_	PU	O	O
และ	CC	O	B_CLS
ข้าราชการ	NN	O	I_CLS
ระดับ	NN	O	I_CLS
สูง	VV	O	I_CLS
ของ	PS	O	I_CLS
กระทรวง	NN	B_ORG	I_CLS
มหาดไทย	NN	E_ORG	I_CLS
_	PU	O	I_CLS
ลง	VV	O	I_CLS
พื้นที่	NN	O	I_CLS
จังหวัดสุพรรณบุรี	NN	O	I_CLS
_	PU	O	I_CLS
ตาม	PS	O	I_CLS
คำ	NN	O	I_CLS
เชิญ	VV	O	I_CLS
ของ	PS	O	I_CLS
_	PU	O	I_CLS
นาย	NN	B_TTL	I_CLS
บรรหาร	NN	B_PER	I_CLS
_	PU	I_PER	I_CLS
ศิลปอาชา	NN	E_PER	E_CLS
_	PU	O	O
พร้อม	CC	O	B_CLS
ยืนยัน	VV	O	I_CLS
_	PU	O	I_CLS
ความ	FX	O	I_CLS
สัมพันธ์	VV	O	I_CLS
ยัง	AX	O	I_CLS
เหมือน	VV	O	I_CLS
เดิม	AV	O	E_CLS

นาย	NN	B_TTL	B_CLS
ชวรัตน์	NN	B_PER	I_CLS
_	PU	I_PER	I_CLS
ชาญวีรกูล	NN	E_PER	I_CLS
_	PU	O	I_CLS
รัฐมนตรี	NN	O	I_CLS
ว่าการ	VV	O	I_CLS
กระทรวง	NN	B_ORG	I_CLS
มหาดไทย	NN	E_ORG	I_CLS
_	PU	O	I_CLS
พร้อม	VV	O	I_CLS
ด้วย	PS	O	I_CLS
_	PU	O	I_CLS
อธิบดี	NN	O	I_CLS
กรม	NN	O	I_CLS
ต่าง	AJ	O	I_CLS
ๆ	PU	O	I_CLS
_	PU	O	I_CLS
ใน	PS	O	I_CLS
สังกัด	NN	O	E_CLS
_	PU	O	O
และ	CC	O	B_CLS
ข้าราชการ	NN	O	I_CLS
ระดับ	NN	O	I_CLS
สูง	VV	O	I_CLS
ของ	PS	O	I_CLS
กระทรวง	NN	B_ORG	I_CLS
มหาดไทย	NN	E_ORG	I_CLS
_	PU	O	I_CLS
เดินทาง	VV	O	I_CLS
มา	AV	O	I_CLS
ที่	PS	O	I_CLS
จังหวัดสุพรรณบุรี	NN	O	I_CLS
_	PU	O	I_CLS
ตาม	PS	O	I_CLS
คำ	NN	O	I_CLS
เชิญ	VV	O	I_CLS
ของ	PS	O	I_CLS
_	PU	O	I_CLS
นาย	NN	B_TTL	I_CLS
บรรหาร	NN	B_PER	I_CLS
_	PU	I_PER	I_CLS
ศิลปอาชา	NN	E_PER	I_CLS
_	PU	O	I_CLS
อดีต	NN	O	I_CLS
หัวหน้า	NN	O	I_CLS
พรรค	NN	B_ORG	I_CLS
ชาติไทย	NN	E_ORG	E_CLS

โดย	CC	O	B_CLS
_	PU	O	I_CLS
นาย	NN	B_TTL	I_CLS
บรรหาร	NN	B_PER	I_CLS
_	PU	O	I_CLS
ได้	AX	O	I_CLS
พา	VV	O	I_CLS
เที่ยว	VV	O	I_CLS
ชม	VV	O	I_CLS
พิพิธภัณฑ์	NN	O	I_CLS
ศาล	NN	O	I_CLS
หลัก	NN	O	I_CLS
เมือง	NN	O	I_CLS
สุพรรณบุรี	NN	O	I_CLS
ลูกหลาน	NN	O	I_CLS
พันธุ์	NN	O	I_CLS
มังกร	NN	O	I_CLS
_	PU	O	I_CLS
และ	CC	O	I_CLS
หอเกียรติยศ	NN	O	I_CLS
นายก	NN	O	I_CLS
ฯ	PU	O	I_CLS
_	PU	O	I_CLS
คน	NN	O	I_CLS
ที่	PS	O	I_CLS
_	PU	O	I_CLS
21	NU	B_NUM	E_CLS

พร้อม	CC	O	B_CLS
กัน	AV	O	I_CLS
นี้	PR	O	I_CLS
_	PU	O	I_CLS
ยัง	CC	O	I_CLS
กล่าว	VV	O	I_CLS
ด้วย	AV	O	I_CLS
ว่า	CC	O	E_CLS
_	PU	O	O
ตนเอง	PR	O	B_CLS
รู้จัก	VV	O	I_CLS
กับ	PS	O	I_CLS
_	PU	O	I_CLS
นาย	NN	B_TTL	I_CLS
ชวรัตน์	NN	B_PER	I_CLS
_	PU	O	I_CLS
มา	VV	O	I_CLS
นาน	AV	O	I_CLS
กว่า	AJ	O	I_CLS
_	PU	O	I_CLS
30	NU	B_MEA	I_CLS
_	PU	O	I_CLS
ปี	CL	B_MEA	I_CLS
_	PU	O	I_CLS
และ	CC	O	I_CLS
โอกาส	NN	O	I_CLS
หน้า	NU	O	I_CLS
หาก	CC	O	I_CLS
มา	AV	O	I_CLS
เที่ยว	VV	O	I_CLS
ชม	VV	O	I_CLS
ที่	PS	O	I_CLS
จังหวัดสุพรรณบุรี	NN	O	I_CLS
อีก	AJ	O	I_CLS
ครั้ง	CL	O	E_CLS
_	PU	O	O
ก็	CC	O	B_CLS
จะ	AX	O	I_CLS
พา	VV	O	I_CLS
เที่ยว	VV	O	I_CLS
ชม	VV	O	I_CLS
บึง	NN	O	I_CLS
ฉวาก	NN	O	E_CLS
ซึ่ง	CC	O	B_CLS
เป็น	VV	O	I_CLS
สถานที่	NN	O	I_CLS
ท่องเที่ยว	VV	O	I_CLS
อีก	AJ	O	I_CLS
แห่ง	CL	O	I_CLS
ของ	PS	O	I_CLS
จังหวัดสุพรรณบุรี	NN	O	E_CLS

พร้อม	CC	O	B_CLS
กัน	AV	O	I_CLS
นี้	PR	O	I_CLS
_	PU	O	I_CLS
ยืนยัน	VV	O	I_CLS
ด้วย	AV	O	I_CLS
ว่า	CC	O	E_CLS
_	PU	O	O
การ	FX	O	B_CLS
มา	VV	O	I_CLS
ใน	PS	O	I_CLS
ครั้ง	CL	O	I_CLS
นี้	AJ	O	I_CLS
ไม่	NG	O	I_CLS
ได้	AX	O	I_CLS
มีการ	FX	O	I_CLS
พูดคุย	VV	O	I_CLS
กัน	AV	O	I_CLS
ถึง	PS	O	I_CLS
เรื่อง	NN	O	I_CLS
การเมือง	NN	O	I_CLS
แต่อย่างใด	AV	O	E_CLS
_	PU	O	O
และ	CC	O	B_CLS
ยัง	CC	O	I_CLS
ยืนยัน	VV	O	I_CLS
ถึง	PS	O	I_CLS
ความ	FX	O	I_CLS
สัมพันธ์	VV	O	I_CLS
กับ	PS	O	I_CLS
_	PU	O	I_CLS
นาย	NN	B_TTL	I_CLS
ชวรัตน์	NN	B_PER	E_CLS
_	PU	O	O
ว่า	CC	O	B_CLS
ยัง	AX	O	I_CLS
เหมือน	VV	O	I_CLS
เดิม	AV	O	E_CLS
_	PU	O	O
แม้	CC	O	B_CLS
ทาง	NN	O	I_CLS
พรรค	NN	B_ORG	I_CLS
ภูมิใจ	VV	I_ORG	I_CLS
ไทย	NN	E_ORG	I_CLS
_	PU	O	I_CLS
จะ	AX	O	I_CLS
ดึง	VV	O	I_CLS
_	PU	O	I_CLS
ส.ส.	NN	B_DES	I_CLS
จาก	PS	O	I_CLS
พรรค	NN	B_ORG	I_CLS
ชาติไทย	NN	E_ORG	I_CLS
พัฒนา	VV	O	I_CLS
ไป	AV	O	I_CLS
ก็ตาม	CC	O	E_CLS
_	PU	O	O
ซึ่ง	CC	O	B_CLS
ดู	VV	O	I_CLS
ได้	AX	O	I_CLS
จาก	PS	O	I_CLS
การ	FX	O	I_CLS
มา	AV	O	I_CLS
เที่ยว	VV	O	I_CLS
ชม	VV	O	I_CLS
สถานที่	NN	O	I_CLS
ท่องเที่ยว	VV	O	I_CLS
ใน	PS	O	I_CLS
จังหวัดสุพรรณบุรี	NN	O	I_CLS
ได้	AX	O	I_CLS
ใน	PS	O	I_CLS
ครั้ง	CL	O	I_CLS
นี้	AJ	O	E_CLS

ขณะ	CC	O	B_CLS
ที่	CC	O	I_CLS
_	PU	O	I_CLS
นาย	NN	B_TTL	I_CLS
ชวรัตน์	NN	B_PER	I_CLS
_	PU	I_PER	I_CLS
ชาญวีรกูล	NN	E_PER	I_CLS
_	PU	O	I_CLS
รัฐมนตรี	NN	O	I_CLS
ว่าการ	VV	O	I_CLS
กระทรวง	NN	B_ORG	I_CLS
มหาดไทย	NN	E_ORG	E_CLS
_	PU	O	O
และ	CC	O	B_CLS
ใน	PS	O	I_CLS
ฐานะ	NN	O	I_CLS
หัวหน้า	NN	O	I_CLS
พรรค	NN	B_ORG	I_CLS
ภูมิใจไทย	NN	E_ORG	I_CLS
_	PU	O	I_CLS
ยืนยัน	VV	O	I_CLS
ว่า	CC	O	E_CLS
_	PU	O	O
การ	FX	O	B_CLS
เดินทาง	VV	O	I_CLS
มา	AV	O	I_CLS
พบ	VV	O	I_CLS
_	PU	O	I_CLS
นาย	NN	B_TTL	I_CLS
บรรหาร	NN	B_PER	I_CLS
_	PU	O	I_CLS
ที่	PS	O	I_CLS
จังหวัดสุพรรณบุรี	NN	O	I_CLS
ใน	PS	O	I_CLS
ครั้ง	CL	O	I_CLS
นี้	AJ	O	I_CLS
_	PU	O	I_CLS
มา	VV	O	I_CLS
ใน	PS	O	I_CLS
ฐานะ	NN	O	E_CLS
ที่	CC	O	B_CLS
เพื่อน	NN	O	I_CLS
รู้จัก	VV	O	I_CLS
กัน	AV	O	I_CLS
มา	VV	O	I_CLS
นาน	AV	O	E_CLS
_	PU	O	O
โดย	CC	O	B_CLS
ไม่	NG	O	I_CLS
ได้	AX	O	I_CLS
มีการ	FX	O	I_CLS
พูดคุย	VV	O	I_CLS
กัน	AV	O	I_CLS
ถึง	PS	O	I_CLS
เรื่อง	NN	O	I_CLS
การเมือง	NN	O	I_CLS
แต่อย่างใด	AV	O	E_CLS

นอกจาก	PS	O	B_CLS
นี้	AJ	O	I_CLS
_	PU	O	I_CLS
นาย	NN	B_TTL	I_CLS
ชวรัตน์	NN	B_PER	I_CLS
_	PU	O	I_CLS
ยัง	CC	O	I_CLS
แสดง	VV	O	I_CLS
ความ	FX	O	I_CLS
กังวล	VV	O	I_CLS
ต่อ	PS	O	I_CLS
คำ	NN	O	I_CLS
ตัดสิน	VV	O	I_CLS
ของ	PS	O	I_CLS
คณะ	NN	B_ORG	I_CLS
กรรมการ	NN	I_ORG	I_CLS
การ	FX	I_ORG	I_CLS
เลือกตั้ง	VV	E_ORG	E_CLS
_	PU	O	O
หรือ	CC	O	B_CLS
_	PU	O	O
กกต.	NN	B_ORG	B_CLS
_	PU	O	I_CLS
กรณี	NN	O	I_CLS
การ	FX	O	I_CLS
ถือ	VV	O	I_CLS
ครอง	VV	O	I_CLS
หุ้น	NN	O	I_CLS
ของ	PS	O	I_CLS
_	PU	O	I_CLS
ส.ส.	NN	B_DES	E_CLS
_	PU	O	O
และ	CC	O	B_CLS
รัฐมนตรี	NN	O	I_CLS
จาก	PS	O	I_CLS
พรรค	NN	B_ORG	I_CLS
ภูมิใจ	VV	I_ORG	I_CLS
ไทย	NN	E_ORG	E_CLS

ทั้งนี้	CC	O	B_CLS
_	PU	O	I_CLS
ยืนยัน	VV	O	I_CLS
ว่า	CC	O	I_CLS
_	PU	O	I_CLS
แม้	CC	O	I_CLS
_	PU	O	I_CLS
ส.ส.	NN	B_DES	I_CLS
_	PU	O	I_CLS
ที่	CC	O	I_CLS
เป็น	VV	O	I_CLS
รัฐมนตรี	NN	O	I_CLS
จาก	PS	O	I_CLS
พรรค	NN	O	I_CLS
จะ	AX	O	I_CLS
ถูก	AX	O	I_CLS
ตัดสิน	VV	O	E_CLS
ว่า	CC	O	B_CLS
มี	VV	O	I_CLS
ความ	FX	O	I_CLS
ผิด	VV	O	I_CLS
_	PU	O	I_CLS
ก็	CC	O	I_CLS
จะ	AX	O	I_CLS
ยังคง	AX	O	I_CLS
ให้	CC	O	I_CLS
ดำรง	VV	O	I_CLS
ตำแหน่ง	NN	O	I_CLS
รัฐมนตรี	NN	O	I_CLS
ต่อไป	AV	O	E_CLS

